height,weight,gender,bmi,rh,stress_level,skin_temp,TC,TS,Clo,env_temp
1.77,68.0,-1.0,21.70512943,56.51,32.111012956419316,31.955,4.0,4.0,0.54,75.46300000000002
1.77,58.0,-1.0,18.51319863,53.448,71.0,30.695,4.0,4.0,0.36,77.072
1.83,74.0,-1.0,22.09680791,47.71,7.0,32.007,4.0,7.0,0.5,79.502
1.69,75.0,-1.0,26.25958475,38.92,32.111012956419316,31.745,4.0,5.0,0.67,76.876
1.6,63.0,1.0,24.609375,52.15,23.5,31.798,4.0,4.0,0.96,79.678
1.74,65.0,-1.0,21.46915048,54.76,12.0,33.507,5.0,6.0,0.36,80.029
1.62,56.0,1.0,21.33821064,39.703,6.0,32.474000000000004,5.0,5.0,0.61,80.492
1.66,57.0,1.0,20.68515024,55.35,32.111012956419316,30.431,3.0,4.0,0.32,76.181
1.71,64.0,-1.0,21.88707637,55.83,8.0,33.456,3.0,5.0,0.5,76.876
1.71,64.0,-1.0,21.88707637,49.87,24.0,31.013,5.0,5.0,0.5,77.749
1.77,58.0,-1.0,18.51319863,60.03100000000001,11.0,32.267,4.0,4.0,0.36,77.596
1.69,75.0,-1.0,26.25958475,40.02,17.0,32.396,4.0,5.0,0.67,77.225
1.6,63.0,1.0,24.609375,55.87,32.111012956419316,32.00344904279279,4.0,4.0,0.36,77.749
1.6,52.5,1.0,20.5078125,33.895,32.111012956419316,32.00344904279279,4.0,4.0,0.54,73.947
1.71,64.0,-1.0,21.88707637,54.13,32.111012956419316,32.00344904279279,4.0,4.0,0.5,77.749
1.66,57.0,1.0,20.68515024,50.07,2.0,32.292,4.0,4.0,0.36,78.975
1.6,52.5,1.0,20.5078125,44.651,13.0,30.087,4.0,5.0,0.54,75.985
1.62,56.0,1.0,21.33821064,58.20399999999999,1.0,31.588,4.0,6.0,0.61,76.768
1.64,54.0,1.0,20.07733492,39.67,4.0,32.759,6.0,6.0,1.0,75.139
1.77,68.0,-1.0,21.70512943,52.798,32.111012956419316,32.00344904279279,3.0,4.0,0.54,77.684
1.77,68.0,-1.0,21.70512943,54.735,32.111012956419316,32.00344904279279,3.0,4.0,0.54,77.029
1.6,52.5,1.0,20.5078125,57.645,30.0,32.00344904279279,3.0,3.0,0.54,75.029
1.6,63.0,1.0,24.609375,60.28,32.111012956419316,30.669,4.0,4.0,0.36,78.274
1.69,75.0,-1.0,26.25958475,53.25,32.111012956419316,32.00344904279279,3.0,5.0,0.31,77.05
