height,weight,gender,bmi,age,rh,heart_rate,stress_level,skin_temp,eda,TC,TS,Clo,Act,env_temp
1.71,64.0,-1.0,21.88707637,27.0,49.87,74.0,24.0,31.013,0.017881,5.0,5.0,0.5,1.0,77.749
1.77,58.0,-1.0,18.51319863,23.0,60.03100000000001,79.0,11.0,32.267,0.1381415,4.0,4.0,0.36,2.5,77.596
1.69,75.0,-1.0,26.25958475,24.0,40.02,78.0,17.0,32.396,4.6189110000000015,4.0,5.0,0.67,1.0,77.225
1.6,63.0,1.0,24.609375,24.0,55.87,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,4.0,4.0,0.36,1.0,77.749
1.6,52.5,1.0,20.5078125,24.0,33.895,81.0,32.111012956419316,32.00344904279279,0.16634149999999998,4.0,4.0,0.54,1.0,73.947
1.71,64.0,-1.0,21.88707637,27.0,54.13,78.43582755203171,32.111012956419316,32.00344904279279,0.0017330000000000002,4.0,4.0,0.5,1.0,77.749
1.66,57.0,1.0,20.68515024,25.0,50.07,60.0,2.0,32.292,0.0116645,4.0,4.0,0.36,1.0,78.975
1.6,52.5,1.0,20.5078125,24.0,44.651,77.0,13.0,30.087,0.025802999999999996,4.0,5.0,0.54,1.0,75.985
1.62,56.0,1.0,21.33821064,24.0,58.20399999999999,63.0,1.0,31.588,0.0294515,4.0,6.0,0.61,1.0,76.768
1.64,54.0,1.0,20.07733492,24.0,39.67,68.5,4.0,32.759,2.2793485,6.0,6.0,1.0,0.8,75.139
1.77,68.0,-1.0,21.70512943,24.0,52.798,78.43582755203171,32.111012956419316,32.00344904279279,-0.0014925000000000001,3.0,4.0,0.54,1.0,77.684
1.77,68.0,-1.0,21.70512943,24.0,54.735,78.43582755203171,32.111012956419316,32.00344904279279,-0.0018225000000000001,3.0,4.0,0.54,1.1,77.029
1.6,52.5,1.0,20.5078125,24.0,57.645,78.0,30.0,32.00344904279279,0.031050499999999998,3.0,3.0,0.54,1.1,75.029
1.6,63.0,1.0,24.609375,24.0,60.28,95.0,32.111012956419316,30.669,0.0368265,4.0,4.0,0.36,0.8,78.274
1.69,75.0,-1.0,26.25958475,24.0,53.25,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,3.0,5.0,0.31,1.0,77.05
